datetime,level_1,0,prop
2020-04-18,traitement,8.0,9.195402298850574
2020-04-18,masque,,
2020-04-18,5g,2.0,2.2988505747126435
2020-04-18,bilan,2.0,2.2988505747126435
2020-04-18,complot,7.0,8.045977011494253
2020-04-18,experts,15.0,17.24137931034483
2020-04-18,politique,5.0,5.747126436781609
2020-04-18,laboratoire,4.0,4.597701149425287
2020-04-18,qanon,,
2020-04-18,entourage,11.0,12.643678160919542
2020-04-18,chine,5.0,5.747126436781609
2020-04-19,reseaux_sociaux,55.0,67.07317073170732
2020-04-19,virus,33.0,40.243902439024396
2020-04-19,traitement,10.0,12.195121951219512
2020-04-19,masque,,
2020-04-19,5g,,
2020-04-19,bilan,3.0,3.6585365853658534
2020-04-19,complot,9.0,10.975609756097562
2020-04-19,experts,10.0,12.195121951219512
2020-04-19,politique,9.0,10.975609756097562
2020-04-19,laboratoire,8.0,9.75609756097561
2020-04-19,qanon,1.0,1.2195121951219512
2020-04-19,entourage,10.0,12.195121951219512
2020-04-19,chine,7.0,8.536585365853659
2020-04-20,reseaux_sociaux,43.0,59.72222222222222
2020-04-20,virus,38.0,52.77777777777778
2020-04-20,traitement,12.0,16.666666666666664
2020-04-20,masque,1.0,1.3888888888888888
2020-04-20,5g,,
2020-04-20,bilan,4.0,5.555555555555555
2020-04-20,complot,5.0,6.944444444444445
2020-04-20,experts,8.0,11.11111111111111
2020-04-20,politique,7.0,9.722222222222223
2020-04-20,laboratoire,8.0,11.11111111111111
2020-04-20,qanon,1.0,1.3888888888888888
2020-04-20,entourage,7.0,9.722222222222223
2020-04-20,chine,9.0,12.5
2020-04-21,reseaux_sociaux,35.0,52.23880597014925
2020-04-21,virus,35.0,52.23880597014925
2020-04-21,traitement,7.0,10.44776119402985
2020-04-21,masque,1.0,1.4925373134328357
2020-04-21,5g,1.0,1.4925373134328357
2020-04-21,bilan,6.0,8.955223880597014
2020-04-21,complot,7.0,10.44776119402985
2020-04-21,experts,8.0,11.940298507462686
2020-04-21,politique,5.0,7.462686567164178
2020-04-21,laboratoire,1.0,1.4925373134328357
2020-04-21,qanon,2.0,2.9850746268656714
2020-04-21,entourage,12.0,17.91044776119403
2020-04-21,chine,8.0,11.940298507462686
2020-04-22,reseaux_sociaux,44.0,55.00000000000001
2020-04-22,virus,28.0,35.0
2020-04-22,traitement,14.0,17.5
2020-04-22,masque,1.0,1.25
2020-04-22,5g,5.0,6.25
2020-04-22,bilan,6.0,7.5
2020-04-22,complot,4.0,5.0
2020-04-22,experts,6.0,7.5
2020-04-22,politique,5.0,6.25
2020-04-22,laboratoire,3.0,3.75
2020-04-22,qanon,,
2020-04-22,entourage,9.0,11.25
2020-04-22,chine,8.0,10.0
2020-04-23,reseaux_sociaux,24.0,51.06382978723404
